match_id,data,casa,ospite,gol_casa_reali,gol_ospite_reali,gol_casa_baseline,gol_ospite_baseline,tiri_dentro_casa_pre,tiri_fuori_casa_pre,tiri_dentro_casa_concessi_pre,tiri_fuori_casa_concessi_pre,tiri_dentro_ospite_pre,tiri_fuori_ospite_pre,tiri_dentro_ospite_concessi_pre,tiri_fuori_ospite_concessi_pre,expected_tiri_dentro_casa,expected_tiri_dentro_ospite,expected_tiri_fuori_casa,expected_tiri_fuori_ospite,tiri_dentro_casa_reali,tiri_fuori_casa_reali,tiri_dentro_ospite_reali,tiri_fuori_ospite_reali,valido
29899,2025-10-04 13:00:00,Lazio,Torino,3.0,3.0,1.2673076923076922,0.6541623207301173,8.0,3.8,9.8,4.4,6.2,4.4,9.2,6.6,8.6,8.0,5.199999999999999,4.4,4,5,9,7,True
29897,2025-10-04 16:00:00,Inter,Cremonese,4.0,1.0,1.8849056603773584,1.3014850882531952,12.8,6.0,5.4,4.6,4.0,2.6,10.2,6.2,11.5,4.7,6.1,3.5999999999999996,16,11,1,2,True
29894,2025-10-04 18:45:00,Atalanta,Como,1.0,1.0,1.5972222222222223,0.9995413436692506,9.6,5.0,6.0,7.0,8.6,7.0,6.0,3.8,7.8,7.3,4.4,7.0,8,8,8,4,True
29902,2025-10-05 10:30:00,Udinese,Cagliari,1.0,1.0,1.0954545454545455,1.2836051353226925,5.4,6.4,8.4,3.8,7.6,3.8,10.2,4.0,7.8,8.0,5.2,3.8,15,8,5,3,True
29896,2025-10-05 13:00:00,Fiorentina,Roma,1.0,2.0,0.8937499999999999,1.0995065789473684,6.4,5.6,9.2,3.8,8.2,5.4,4.8,4.6,5.6,8.7,5.1,4.6,4,7,5,3,True
29895,2025-10-05 13:00:00,Bologna,Pisa,4.0,0.0,1.0964912280701755,0.8239809081527348,7.6,4.0,8.0,4.0,7.6,3.6,9.0,6.4,8.3,7.8,5.2,3.8,15,9,2,0,True
29900,2025-10-05 16:00:00,Napoli,Genoa,2.0,1.0,1.603448275862069,0.7345812807881773,11.2,5.6,6.8,4.4,6.2,4.0,7.6,3.6,9.399999999999999,6.5,4.6,4.2,10,2,1,5,True
29898,2025-10-05 18:45:00,Juventus,Milan,0.0,0.0,1.5059322033898306,1.3742947730235864,8.8,8.0,6.0,6.4,10.6,3.6,5.0,4.0,6.9,8.3,6.0,5.0,8,4,7,6,True
29910,2025-10-18 13:00:00,Lecce,Sassuolo,0.0,0.0,1.0125,1.5141171328671328,6.0,3.3333333333333335,8.833333333333334,3.8333333333333335,6.0,3.6666666666666665,9.166666666666666,5.166666666666667,7.583333333333333,7.416666666666667,4.25,3.75,5,6,5,4,True
29912,2025-10-18 13:00:00,Pisa,Verona,0.0,0.0,0.8360655737704918,0.9115254053778643,6.666666666666667,3.0,10.0,6.833333333333333,7.333333333333333,6.666666666666667,6.833333333333333,5.333333333333333,6.75,8.666666666666666,4.166666666666666,6.75,5,2,12,3,True
29906,2025-10-18 16:00:00,Torino,Napoli,1.0,0.0,0.9932795698924733,2.269367057673509,6.666666666666667,4.833333333333333,8.333333333333334,6.333333333333333,11.0,5.0,5.833333333333333,4.5,6.25,9.666666666666668,4.666666666666666,5.666666666666666,8,4,13,9,True
29913,2025-10-18 18:45:00,Roma,Inter,0.0,1.0,1.1547619047619047,1.2839781746031746,7.666666666666667,5.0,4.666666666666667,5.0,13.333333333333334,6.833333333333333,4.666666666666667,4.166666666666667,6.166666666666667,9.0,4.583333333333334,5.916666666666666,11,4,6,6,True
29907,2025-10-19 10:30:00,Como,Juventus,2.0,0.0,1.1497395833333335,1.1423985272988506,8.5,6.5,6.333333333333333,4.5,8.666666666666666,7.333333333333333,6.166666666666667,6.333333333333333,7.333333333333334,7.5,6.416666666666666,5.916666666666666,8,4,7,8,True
29905,2025-10-19 13:00:00,Cagliari,Bologna,0.0,2.0,1.0653846153846154,1.2393249607535322,7.166666666666667,3.6666666666666665,11.0,4.666666666666667,8.833333333333334,4.833333333333333,7.0,3.3333333333333335,7.083333333333334,9.916666666666668,3.5,4.75,1,3,4,6,True
29909,2025-10-19 13:00:00,Genoa,Parma,0.0,0.0,0.8143939393939394,0.9483043522473052,5.333333333333333,4.166666666666667,8.0,3.3333333333333335,6.666666666666667,4.666666666666667,7.166666666666667,5.0,6.25,7.333333333333334,4.583333333333334,4.0,10,13,0,1,True
29904,2025-10-19 16:00:00,Atalanta,Lazio,0.0,0.0,1.472636815920398,1.2152520395783943,9.333333333333334,5.5,6.333333333333333,6.5,7.333333333333333,4.0,9.666666666666666,4.833333333333333,9.5,6.833333333333333,5.166666666666666,5.25,12,4,1,3,True
29911,2025-10-19 18:45:00,Milan,Fiorentina,2.0,1.0,1.2977941176470589,0.6416263653112252,10.0,4.0,5.5,4.0,6.0,5.833333333333333,8.5,3.6666666666666665,9.25,5.75,3.833333333333333,4.916666666666666,10,4,2,3,True
